Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
caramel-cheddar,Caramel Cheddar Gourmet Popcorn,"<p>Sweet caramel meets sharp cheddar. Chicago-style perfection!</p><p>The classic Chicago mix - half sweet caramel, half savory cheddar cheese. Best of both worlds!</p>",iPOP,Food & Drink > Snack Foods > Popcorn,Popcorn,"popcorn,sweet,savory,chicago mix,caramel,cheddar,cheese",TRUE,Size,Snack Size (4 cups),CC-SNACK,113,shopify,deny,manual,10.00,,TRUE,TRUE,,,1,Caramel Cheddar Popcorn Snack Size,FALSE,Caramel Cheddar Gourmet Popcorn | iPOP,Chicago-style caramel cheddar popcorn - sweet caramel meets sharp cheddar in perfect harmony.,,lb,,6.00,active
caramel-cheddar,Caramel Cheddar Gourmet Popcorn,"<p>Sweet caramel meets sharp cheddar. Chicago-style perfection!</p><p>The classic Chicago mix - half sweet caramel, half savory cheddar cheese. Best of both worlds!</p>",iPOP,Food & Drink > Snack Foods > Popcorn,Popcorn,"popcorn,sweet,savory,chicago mix,caramel,cheddar,cheese",TRUE,Size,Value Size (1 gallon),CC-VALUE,454,shopify,deny,manual,15.00,,TRUE,TRUE,,,2,Caramel Cheddar Popcorn Value Size,FALSE,Caramel Cheddar Gourmet Popcorn | iPOP,Chicago-style caramel cheddar popcorn - sweet caramel meets sharp cheddar in perfect harmony.,,lb,,9.00,active
milk-chocolate-drizzle,Milk Chocolate Drizzle Gourmet Popcorn,"<p>Gourmet popcorn drizzled with rich milk chocolate. Pure indulgence!</p><p>Premium milk chocolate artfully drizzled over freshly popped kernels. A chocolate lover's dream!</p>",iPOP,Food & Drink > Snack Foods > Popcorn,Popcorn,"popcorn,sweet,chocolate,dessert,indulgent",TRUE,Size,Snack Size (4 cups),MCD-SNACK,113,shopify,deny,manual,10.00,,TRUE,TRUE,,,1,Milk Chocolate Drizzle Popcorn Snack Size,FALSE,Milk Chocolate Drizzle Gourmet Popcorn | iPOP,Gourmet popcorn drizzled with rich milk chocolate - pure indulgence for chocolate lovers.,,lb,,6.00,active
milk-chocolate-drizzle,Milk Chocolate Drizzle Gourmet Popcorn,"<p>Gourmet popcorn drizzled with rich milk chocolate. Pure indulgence!</p><p>Premium milk chocolate artfully drizzled over freshly popped kernels. A chocolate lover's dream!</p>",iPOP,Food & Drink > Snack Foods > Popcorn,Popcorn,"popcorn,sweet,chocolate,dessert,indulgent",TRUE,Size,Value Size (1 gallon),MCD-VALUE,454,shopify,deny,manual,15.00,,TRUE,TRUE,,,2,Milk Chocolate Drizzle Popcorn Value Size,FALSE,Milk Chocolate Drizzle Gourmet Popcorn | iPOP,Gourmet popcorn drizzled with rich milk chocolate - pure indulgence for chocolate lovers.,,lb,,9.00,active
rainbow,Rainbow Gourmet Popcorn,"<p>Vibrant fruity flavors in every colorful bite. Fun for all ages!</p><p>Bright, colorful candy coating with sweet fruit flavors. Perfect for parties and celebrations!</p>",iPOP,Food & Drink > Snack Foods > Popcorn,Popcorn,"popcorn,sweet,rainbow,colorful,kids,party,fruity",TRUE,Size,Snack Size (4 cups),RB-SNACK,113,shopify,deny,manual,10.00,,TRUE,TRUE,,,1,Rainbow Popcorn Snack Size,FALSE,Rainbow Gourmet Popcorn | iPOP,Colorful rainbow popcorn with vibrant fruity flavors - fun for all ages! Perfect for parties and celebrations.,,lb,,6.00,active
rainbow,Rainbow Gourmet Popcorn,"<p>Vibrant fruity flavors in every colorful bite. Fun for all ages!</p><p>Bright, colorful candy coating with sweet fruit flavors. Perfect for parties and celebrations!</p>",iPOP,Food & Drink > Snack Foods > Popcorn,Popcorn,"popcorn,sweet,rainbow,colorful,kids,party,fruity",TRUE,Size,Value Size (1 gallon),RB-VALUE,454,shopify,deny,manual,15.00,,TRUE,TRUE,,,2,Rainbow Popcorn Value Size,FALSE,Rainbow Gourmet Popcorn | iPOP,Colorful rainbow popcorn with vibrant fruity flavors - fun for all ages! Perfect for parties and celebrations.,,lb,,9.00,active
cheddar-cheese,Cheddar Cheese Gourmet Popcorn,"<p>Bold, sharp cheddar flavor. Classic cheese popcorn done right!</p><p>Made with real aged cheddar cheese. The classic cheese popcorn you know and love!</p>",iPOP,Food & Drink > Snack Foods > Popcorn,Popcorn,"popcorn,savory,cheese,cheddar,classic",TRUE,Size,Snack Size (4 cups),CH-SNACK,113,shopify,deny,manual,10.00,,TRUE,TRUE,,,1,Cheddar Cheese Popcorn Snack Size,FALSE,Cheddar Cheese Gourmet Popcorn | iPOP,Bold cheddar cheese popcorn made with real aged cheddar. Classic cheese popcorn done right!,,lb,,6.00,active
cheddar-cheese,Cheddar Cheese Gourmet Popcorn,"<p>Bold, sharp cheddar flavor. Classic cheese popcorn done right!</p><p>Made with real aged cheddar cheese. The classic cheese popcorn you know and love!</p>",iPOP,Food & Drink > Snack Foods > Popcorn,Popcorn,"popcorn,savory,cheese,cheddar,classic",TRUE,Size,Value Size (1 gallon),CH-VALUE,454,shopify,deny,manual,15.00,,TRUE,TRUE,,,2,Cheddar Cheese Popcorn Value Size,FALSE,Cheddar Cheese Gourmet Popcorn | iPOP,Bold cheddar cheese popcorn made with real aged cheddar. Classic cheese popcorn done right!,,lb,,9.00,active
pineapple,Pineapple Gourmet Popcorn,"<p>Tropical pineapple sweetness. Bring the island vibes home!</p><p>Sweet tropical pineapple flavor that transports you to paradise with every bite!</p>",iPOP,Food & Drink > Snack Foods > Popcorn,Popcorn,"popcorn,sweet,pineapple,tropical,fruit",TRUE,Size,Snack Size (4 cups),PI-SNACK,113,shopify,deny,manual,10.00,,TRUE,TRUE,,,1,Pineapple Popcorn Snack Size,FALSE,Pineapple Gourmet Popcorn | iPOP,Tropical pineapple popcorn with sweet island flavor - bring the vacation home!,,lb,,6.00,active
pineapple,Pineapple Gourmet Popcorn,"<p>Tropical pineapple sweetness. Bring the island vibes home!</p><p>Sweet tropical pineapple flavor that transports you to paradise with every bite!</p>",iPOP,Food & Drink > Snack Foods > Popcorn,Popcorn,"popcorn,sweet,pineapple,tropical,fruit",TRUE,Size,Value Size (1 gallon),PI-VALUE,454,shopify,deny,manual,15.00,,TRUE,TRUE,,,2,Pineapple Popcorn Value Size,FALSE,Pineapple Gourmet Popcorn | iPOP,Tropical pineapple popcorn with sweet island flavor - bring the vacation home!,,lb,,9.00,active
cinnamon-twist,Cinnamon Twist Gourmet Popcorn,"<p>Sweet cinnamon sugar coating. Warm, cozy flavor in every bite!</p><p>Like cinnamon toast in popcorn form. Perfect comfort snack with the perfect amount of spice!</p>",iPOP,Food & Drink > Snack Foods > Popcorn,Popcorn,"popcorn,sweet,cinnamon,sugar,warm,cozy",TRUE,Size,Snack Size (4 cups),CT-SNACK,113,shopify,deny,manual,10.00,,TRUE,TRUE,,,1,Cinnamon Twist Popcorn Snack Size,FALSE,Cinnamon Twist Gourmet Popcorn | iPOP,Sweet cinnamon sugar popcorn - warm and cozy flavor perfect for any season.,,lb,,6.00,active
cinnamon-twist,Cinnamon Twist Gourmet Popcorn,"<p>Sweet cinnamon sugar coating. Warm, cozy flavor in every bite!</p><p>Like cinnamon toast in popcorn form. Perfect comfort snack with the perfect amount of spice!</p>",iPOP,Food & Drink > Snack Foods > Popcorn,Popcorn,"popcorn,sweet,cinnamon,sugar,warm,cozy",TRUE,Size,Value Size (1 gallon),CT-VALUE,454,shopify,deny,manual,15.00,,TRUE,TRUE,,,2,Cinnamon Twist Popcorn Value Size,FALSE,Cinnamon Twist Gourmet Popcorn | iPOP,Sweet cinnamon sugar popcorn - warm and cozy flavor perfect for any season.,,lb,,9.00,active
caramel,Caramel Gourmet Popcorn,"<p>Classic buttery caramel. Sweet, crunchy perfection!</p><p>Our signature recipe - rich, buttery caramel coating every kernel. The classic that started it all!</p>",iPOP,Food & Drink > Snack Foods > Popcorn,Popcorn,"popcorn,sweet,caramel,classic,signature",TRUE,Size,Snack Size (4 cups),CAR-SNACK,113,shopify,deny,manual,10.00,,TRUE,TRUE,,,1,Caramel Popcorn Snack Size,FALSE,Classic Caramel Gourmet Popcorn | iPOP,Classic buttery caramel popcorn - sweet and crunchy perfection in every bite. Our signature recipe!,,lb,,6.00,active
caramel,Caramel Gourmet Popcorn,"<p>Classic buttery caramel. Sweet, crunchy perfection!</p><p>Our signature recipe - rich, buttery caramel coating every kernel. The classic that started it all!</p>",iPOP,Food & Drink > Snack Foods > Popcorn,Popcorn,"popcorn,sweet,caramel,classic,signature",TRUE,Size,Value Size (1 gallon),CAR-VALUE,454,shopify,deny,manual,15.00,,TRUE,TRUE,,,2,Caramel Popcorn Value Size,FALSE,Classic Caramel Gourmet Popcorn | iPOP,Classic buttery caramel popcorn - sweet and crunchy perfection in every bite. Our signature recipe!,,lb,,9.00,active
